https_status,Count,DNS Status,Top 3 IPs,Average TTL
Status Code: 200,6887,"[('0.0', 6874)]","[('104.21.96.1', 715), ('104.21.112.1', 715), ('104.21.64.1', 715)]",6571
Status Code: 403,1293,"[('0.0', 1291)]","[('104.21.96.1', 136), ('104.21.16.1', 136), ('104.21.32.1', 136)]",4154
Connection Errors,526,"[('0.0', 230), ('3.0', 198), ('2.0', 80)]","[('a0.nic.bet. hostmaster.donuts.email. 1739288332 7200 900 1209600 3600', 9), ('127.0.0.1', 8), ('a0.nic.bet. hostmaster.donuts.email. 1739287697 7200 900 1209600 3600', 8)]",3030
Timeout Errors,238,"[('0.0', 238)]","[('104.21.112.1', 21), ('104.21.64.1', 21), ('104.21.80.1', 21)]",7830
violation of protocol,145,"[('0.0', 145)]","[('195.2.84.111', 16), ('35.190.1.20', 9), ('194.58.112.174', 5)]",10614
Dismatch,140,"[('0.0', 140)]","[('103.224.182.210', 4), ('52.223.39.56', 3), ('152.53.67.90', 3)]",13015
connection without response,119,"[('0.0', 119)]","[('72.52.178.23', 40), ('69.16.230.165', 24), ('72.52.179.174', 4)]",6604
Status Code: 404,103,"[('0.0', 103)]","[('104.21.48.1', 10), ('104.21.80.1', 10), ('104.21.112.1', 10)]",6619
Certificate expired,75,"[('0.0', 75)]","[('35.221.175.82', 6), ('39.110.250.2', 5), ('188.166.241.70', 3)]",10032
self signed certificate,49,"[('0.0', 49)]","[('69.16.230.165', 2), ('5.45.73.205', 2), ('147.92.146.242', 2)]",9742
Status Code: 406,44,"[('0.0', 44)]","[('88.208.20.10', 16), ('185.98.55.81', 16), ('scashwl.com.', 5)]",5001
Status Code: 520,36,"[('0.0', 36)]","[('188.114.96.7', 8), ('188.114.97.7', 8), ('104.21.96.1', 8)]",3532
Status Code: 410,35,"[('0.0', 35)]","[('75.2.37.224', 7), ('15.197.130.221', 3), ('75.2.18.233', 3)]",3535
Status Code: 502,34,"[('0.0', 34)]","[('193.148.245.145', 1), ('193.148.244.177', 1), ('190.115.31.234', 1)]",5806
unable to get local issuer certificate,31,"[('0.0', 31)]","[('153.120.10.22', 2), ('153.120.10.24', 2), ('80.82.76.121', 1)]",8570
Status Code: 500,24,"[('0.0', 24)]","[('104.21.16.1', 5), ('104.21.80.1', 5), ('104.21.48.1', 5)]",3511
Status Code: 203,23,"[('0.0', 23)]","[('207.5.194.234', 2), ('212.23.222.98', 2), ('45.155.53.149', 2)]",23553
Status Code: 429,22,"[('0.0', 22)]","[('109.206.162.36', 3), ('109.206.167.145', 3), ('109.206.162.41', 2)]",8577
Status Code: 503,20,"[('0.0', 20)]","[('85.184.96.0', 5), ('104.21.16.1', 5), ('104.21.96.1', 5)]",3904
Exceeded 30 redirects.,18,"[('0.0', 18)]","[('104.21.112.1', 6), ('104.21.48.1', 6), ('104.21.96.1', 6)]",7814
(Status Code: 521),17,"[('0.0', 17)]","[('104.21.16.1', 4), ('104.21.32.1', 4), ('104.21.80.1', 4)]",3525
(Status Code: 436),15,"[('0.0', 14)]","[('91.195.240.12', 8), ('64.190.63.222', 3), ('91.195.240.123', 1)]",2399
handshake failure,15,"[('0.0', 15)]","[('45.81.58.38', 2), ('37.48.65.144', 2), ('13.226.175.3', 1)]",3529
(Status Code: 526),13,"[('0.0', 13)]","[('188.114.97.7', 5), ('188.114.96.7', 5), ('104.21.48.1', 2)]",3524
(Status Code: 523),10,"[('0.0', 10)]","[('188.114.96.7', 2), ('188.114.97.7', 2), ('172.67.74.24', 1)]",3525
internal error (_ssl.c:1129)'))),9,"[('0.0', 9)]","[('84.32.84.32', 2), ('oppainorakuen.blog.fc2.com.', 1), ('rr-clb1001.blog.fc2.me.', 1)]",3519
(Status Code: 405),9,"[('0.0', 9)]","[('217.19.237.54', 1), ('108.156.2.80', 1), ('108.156.2.92', 1)]",3543
(Status Code: 530),6,"[('0.0', 6)]","[('172.67.160.66', 1), ('104.21.9.155', 1), ('188.114.96.7', 1)]",3517
(Status Code: 451),5,"[('0.0', 5)]","[('45.60.111.67', 3), ('107.154.133.67', 3), ('185.197.162.135', 1)]",3541
version number (_ssl.c:1129)'))),5,"[('0.0', 5)]","[('133.18.10.166', 1), ('99.192.136.234', 1), ('77.83.173.245', 1)]",3544
(Status Code: 202),4,"[('0.0', 4)]","[('3.160.212.47', 2), ('3.160.212.78', 2), ('3.160.212.16', 2)]",3523
(Status Code: 400),4,"[('0.0', 4)]","[('104.21.16.1', 2), ('104.21.80.1', 2), ('104.21.96.1', 2)]",3541
